leg	[ leg ]	нога
fine	[ fain ]	прекрасно, прекрасный
action	[ '?k??n ]	действие, поступок
tire	[ 'tai? ]	уставать, надоесть
bamboo	[ b?m'bu: ]	бамбук
mulberry	[ 'm?lb?ri ]	тутовое дерево (TR!)
acacia	[ ?'ke??? ]	акация
edible	[ 'edibl ]	съедобный
poisonous	[ 'p?izn?s ]	ядовитый
home	[ h?um ]	дом
bald	[ b?:ld ]	лысый, оголенный
blame	[ bleim ]	считать виноватым, вина, упрек, порицание
attitude	[ '?titju:d ]	позиция, отношение, поза
particular	[ p?'tikjul? ]	особый
origin	[ '?ri?in ]	происхождение
sustain	[ s?s'tein ]	поддерживать
expectation	[ ,ekspek'tei??n ]	ожидание
ticket	[ 'tikit ]	билет
porter	[ 'p?:t? ]	носильщик
suitcase	[ 's(j)u:tkeis ]	чемодан
baggage	[ 'b?gi? ]	багаж
cabin	[ 'k?bin ]	каюта
update	[ ?p'de?t ]	модернизация (TR!)
updated	[ ?p'de?t?d ]	обновленный (TR!)
warehouse	[ 'we?r‚ha?z ]	склад, пакгауз
check	[ ?ek ]	проверять, регистрировать
remain	[ ri'mein ]	оставаться
china	[ '?ain? ]	фарфор
pitcher	[ 'pi?? ]	подающий
table	[ teibl ]	стол, таблица, расписание
napkin	[ 'n?pkin ]	салфетка, пеленка
saucer	[ 's?:s? ]	блюдце
ring	[ ri? ]	кольцо, звон, звонок, звенеть, звонить
chain	[ ?ein ]	цепь
pin	[ pin ]	булавка, значок, прикалывать
watch	[ w?? ]	часы, cмотреть, наблюдать
wallet	[ 'w?l?t ]	бумажник
handbag	[ 'h?ndb?g ]	дамская сумочка
test	[ test ]	анализ, проверка, испытывать
dump	[ d?mp ]	разгружать
strange	[ strein? ]	странный
foreign	[ 'f?rin ]	иностранный
huge	[ hju:? ]	огромный (не bulk)
build	[ bild ]	строить
whale	[ weil ]	кит
walrus	[ 'w?:lr?s ]	морж
seal	[ si:l ]	печать, запечатывать
running	[ 'r?ni? ]	пробег, бегущий
walking	[ 'w?:ki? ]	гуляющий
tennis	[ 't?nis ]	теннис
wrestle	[ 'resl ]	бороться
boxing	[ 'b?ksi? ]	бокс
football	[ 'futb?:l ]	футбол
swimming	[ 'swimi? ]	плавание
hen	[ hen ]	курица
kid	[ kid ]	ребенок (разг.), обманывать (сленг.)
secretary	[ 'sekrit?ri ]	секретарь
manager	[ 'm?n??? ]	управляющий
envelope	[ 'envil?up ]	конверт
employee	[ ,empl?i'i: ]	служащий, работник
employer	[ 'empl?i? ]	наниматель
typewriter	[ 'ta?p‚ra?t?r ]	пишущая машинка
cherry	[ '?eri ]	вишня
banana	[ b?'n?:n? ]	банан
bean	[ bi:n ]	боб
sprout	[ spraut ]	"пускать ростки; отросток, побег"
corn	[ k?:n ]	кукуруза
after	[ '?:ft? ]	после
again	[ ?'gen ]	снова
all	[ ?:l ]	все, весь
also	[ '?:ls?u ]	тоже, также
always	[ '?:lw?z ]	всегда
and	[ ?nd ]	и
angrily	[ '??grili ]	сердито (!NEW!)
angry	[ '??gri ]	сердитый
animal	[ '?nim?l ]	животное
another	[ ?'n??? ]	еще один, другой
ask	[ ?:sk ]	просить, спрашивать
at	[ ?t ]	в, у
consider	[ k?n'sid? ]	считать
crowd	[ kraud ]	толпа, толпиться
care	[ k?? ]	заботиться, переживать
guess	[ ges ]	отгадывать, догадка
glance	[ gl?:ns ]	взглянуть, мелькнуть
rise	[ raiz ]	подниматься, восходить, подъем, повышение
pick	[ pik ]	собирать, подбирать, выбирать
happen	[ h?pn ]	случаться, происходить
handy	[ 'h?ndi ]	"удобный; ловкий, искусный"
occupation	[ ,?kju'pei?n ]	занятие
respect	[ ris'pekt ]	уважение, уважать
faith	[ fei? ]	вера
recognize	[ 'rek?gnaiz ]	узнавать, узнать
coral	[ 'k?r?l ]	коралл (TR!)
a	[ ? ]	неопределенный артикль
shark	[ ??:k ]	акула
abandon	[ ?'b?nd?n ]	отказываться, покидать, прекращать
ability	[ ?'biliti ]	способность (-y не от слова capable)
able	[ 'eibl ]	способный (-e)
shrimp	[ ?rimp ]	креветка
aboard	[ ?'b?:d ]	на корабле, на борту, в вагоне
about	[ ?'baut ]	о
above	[ ?'b?v ]	над, выше, наверху
abruptly	[ ?'br?ptl? ]	внезапно, резко, грубо
absolutely	[ '?bs?lu:tli ]	абсолютно, совершенно
accent	[ '?ks?nt ]	подчеркивать, произносить
accept	[ ?k'sept ]	принимать
access	[ '?kses ]	доступ, подход, доступность
accident	[ '?ksid?nt ]	несчастный случай
accompany	[ ?'k?mp?ni ]	сопровождать
according	[ ?'k?:di? ]	согласно
